cityID,placeName,placeID,number,address,categoryID
2,칠보산,0,,경기도 수원시 권선구 금호동 온정로91번길 445-30,5
2,광교산,1,031-324-8373,경기도 수원시 장안구 상·하광교동,5
2,인계예술공원,2,031-228-4190,경기도 수원시 팔달구 동수원로 335,5
2,만석공원,3,031-228-4509,경기도 수원시 장안구 송죽동 434,5
2,효원공원,4,031-228-4192,경기도 수원시 팔달구 동수원로 399,5
2,월화원,5,031-228-4184,경기도 수원시 팔달구 동수원로 399,5
2,수원공방거리,6,031-228-3643,경기도 수원시 팔달구 행궁로,5
2,서호(축만제),7,,경기도 수원시 팔달구 화서동 436-1,5
2,광교저수지,8,,경기도 수원시 장안구 하광교동,5
2,광교호수공원,9,031-228-4197,경기도 수원시 영통구 광교호수공원로 102,5
2,광교산 산림욕장,10,,경기도 수원시 장안구 파장동,5
2,효행공원,11,,경기도 수원시 장안구 파장동 39-6,5
2,수원화성,12,031-228-4480,경기도 수원시 팔달구 행궁로 11,1
2,kbs수원센터,13,031-219-8081,경기도 수원시 팔달구 인계로 123,2
2,수원화성홍보관,14,031-290-3600,경기도 수원시 팔달구 행궁로 11,2
2,아담스기념관,15,031-228-2476,경기도 수원시 팔달구 매향동 110번지,2
2,경기상상캠퍼스,16,031-296-1980,경기도 수원시 권선구 서둔로 166,2
2,경기도문화의전당,17,031-230-3200,경기도 수원시 팔달구 효원로 307번길 20,2
2,수원시민회관,18,031-244-2162,경기도 수원시 팔달구 팔달산로 28,2
2,수원제1야외음악당,19,031-236-5740,경기도 수원시 팔달구 동수원로 335,2
2,수원청소년문화센터,20,031-218-0400,경기도 수원시 팔달구 권광로 293 수원청소년종합복지관,2
2,수원문화원,21,031-244-2161,경기도 수원시 팔달구 팔달산로 28,2
2,수원월드컵경기장,22,031-202-2002,경기도 수원시 팔달구 월드컵로 310,2
2,수원박물관,23,031-228-4150,경기도 수원시 영통구 창룡대로 265,2
2,애기똥풀인형극장,24,070-8222-8373,경기도 수원시 팔달구 신풍로 47,2
2,어린이생태미술체험관풀잎,25,031-269-3647,경기도 수원시 장안구 경수대로 1274 효행공원 내,2
2,수원시무형문화재전수회관,26,031-228-4613,경기도 수원시 팔달구 수원천로 372,2
2,수원시립아이파크미술관,27,031-228-3800,경기도 수원시 팔달구 정조로 833,2
2,수원농수산물유통센터,28,031-299-9001,경기도 수원시 권선구 서부로 1937 농협하나로클럽,2
2,잠사과학박물관,29,031-290-8540,경기도 수원시 권선구 서호로 54,2
2,지도박물관,30,031-210-2667,경기도 수원시 영통구 월드컵길 92,2
2,수원미술전시관,31,031-228-4118,경기도 수원시 장안구 송정로 19,2
2,생태교통마을벽화,32,031-228-7603,경기도 수원시 팔달구 신풍로23번길 40 (기준주소: 행궁동주민센터),2
2,행궁동벽화골목,33,031-228-7603,경기도 수원시 팔달구 화서문로 82-6,2
2,축구박물관,34,031-259-2070,경기도 수원시 팔달구 월드컵로 310,2
2,광교박물관,35,031-228-4175,경기도 수원시 영통구 광교로 182,2
2,화성박물관,36,031-228-4242,경기도 수원시 팔달구 창룡대로 21 (매향동),2
2,해우재,37,031-271-9777,경기도 수원시 장안구 장안로458번길 9,2
2,수원 해우재,38,031-271-9777,경기도 수원시 장안구 장안로 463 (이목동),2
2,수원 해우재,39,031-271-9777,경기도 수원시 장안구 장안로 463 (이목동),2
2,수원 해우재,40,031-271-9777,경기도 수원시 장안구 장안로 463 (이목동),2
2,수원 해우재,41,031-271-9777,경기도 수원시 장안구 장안로 463 (이목동),2
2,광교호수공원애견놀이터,42,031-228-4196,경기도 수원시 영통구 하동 1008-9,2
2,수원 해우재,43,031-271-9777,경기도 수원시 장안구 장안로 463 (이목동),2
2,지동벽화마을,44,031-228-7609,경기도 수원시 팔달구 창룡문로 56 (기준주소: 지동시립어린이집),2
2,수원시기후변화체험교육관 두드림,45,031-273-8320,경기도 수원시 권선구 호매실로 46-38 기후변화체험관,6
2,수원화성홍보관,46,031-290-3600,경기도 수원시 팔달구 행궁로 11,6
2,삼성이노베이션뮤지엄,47,031-200-3113,경기도 수원시 영통구 삼성로 129 삼성전자 삼성이노베이션뮤지엄,6
2,니나노 공정여행,48,031-306-4431,경기도 수원시 영통구,6
